Animal ID,Outcome Date,Outcome Type,Age upon Outcomes(years)
A770986,2018-04-28,Transfer,0.0
A749464,2017-06-20,Adoption or RTO,0.0
A675116,2014-05-09,Transfer,0.0
A681560,2014-06-23,Adoption or RTO,2.0
A778401,2018-08-14,Euthanasia,1.0
A736721,2016-10-22,Transfer,11.0
A582945,2013-12-17,Adoption or RTO,7.0
A770568,2018-06-02,Euthanasia,0.0
A711723,2015-09-11,Transfer,0.0
A576705,2015-10-23,Adoption or RTO,5.0
A763873,2017-12-21,Transfer,2.0
A798758,2019-06-30,Adoption or RTO,2.0
A776411,2018-07-13,Transfer,0.0
A747649,2017-04-26,Adoption or RTO,0.0
A752425,2017-07-02,Adoption or RTO,0.0
A802011,2019-08-19,Transfer,0.0
A739496,2016-12-03,Transfer,0.0
A804523,2019-10-09,Transfer,0.0
A821808,2020-08-21,Transfer,2.0
A669594,2014-01-21,Adoption or RTO,0.0
A818339,2020-08-14,Adoption or RTO,3.0
A790471,2019-03-11,Transfer,3.0
A705991,2015-06-23,Transfer,0.0
A734034,2016-09-04,Adoption or RTO,0.0
A739413,2016-12-12,Transfer,1.0
A773427,2018-06-13,Transfer,2.0
A789369,2019-04-09,Transfer,10.0
A796246,2019-06-01,Transfer,0.0
A809173,2019-11-24,Transfer,1.0
A762192,2017-11-18,Transfer,0.0
A667475,2013-12-17,Adoption or RTO,5.0
A824740,2020-12-18,Adoption or RTO,0.0
A755005,2017-07-27,Transfer,0.0
A766628,2018-02-18,Adoption or RTO,2.0
A783322,2018-11-04,Adoption or RTO,3.0
A691708,2014-11-09,Transfer,0.0
A778113,2018-08-09,Transfer,1.0
A763747,2017-12-21,Adoption or RTO,1.0
A668178,2014-01-02,Adoption or RTO,0.0
A741751,2017-01-11,Transfer,2.0
A787270,2019-01-28,Transfer,0.0
A702403,2015-06-14,Adoption or RTO,0.0
A732061,2018-01-28,Adoption or RTO,3.0
A733502,2017-01-29,Adoption or RTO,0.0
A802238,2019-08-19,Transfer,2.0
A781464,2018-10-10,Died or Missing,7.0
A752358,2017-06-27,Adoption or RTO,0.0
A777939,2018-08-09,Transfer,1.0
A775716,2018-08-07,Transfer,0.0
A787654,2019-03-11,Transfer,2.0
A715154,2015-11-01,Transfer,0.0
A709084,2015-09-01,Transfer,7.0
A764567,2018-01-03,Died or Missing,2.0
A794895,2019-05-17,Adoption or RTO,0.0
A782492,2018-10-21,Transfer,4.0
A791983,2019-07-09,Adoption or RTO,0.0
A792559,2019-06-29,Adoption or RTO,0.0
A766118,2018-02-05,Transfer,2.0
A761383,2017-11-23,Transfer,0.0
A803143,2019-09-01,Adoption or RTO,0.0
A772223,2018-05-26,Adoption or RTO,0.0
A699227,2015-08-25,Adoption or RTO,0.0
A801121,2019-08-03,Transfer,1.0
A724463,2016-04-18,Transfer,0.0
A765537,2018-07-02,Adoption or RTO,4.0
A714862,2015-11-28,Adoption or RTO,0.0
A676765,2014-04-21,Transfer,2.0
A811089,2020-01-02,Transfer,2.0
A794195,2019-05-08,Adoption or RTO,0.0
A687278,2014-09-04,Transfer,0.0
A668550,2013-12-20,Transfer,1.0
A824893,2020-10-23,Adoption or RTO,0.0
A813613,2020-03-14,Adoption or RTO,2.0
A757995,2017-09-10,Transfer,0.0
A675675,2014-07-26,Adoption or RTO,0.0
A682683,2014-07-16,Adoption or RTO,0.0
A808560,2019-11-13,Transfer,0.0
A757442,2017-09-07,Adoption or RTO,0.0
A679201,2014-05-17,Transfer,0.0
A758739,2017-09-28,Transfer,2.0
A729191,2016-07-17,Adoption or RTO,0.0
A724653,2016-04-20,Transfer,0.0
A738723,2016-12-09,Adoption or RTO,0.0
A727613,2016-06-30,Adoption or RTO,0.0
A794469,2019-05-22,Transfer,0.0
A806106,2019-10-14,Adoption or RTO,4.0
A798956,2019-08-12,Adoption or RTO,0.0
A783913,2018-11-11,Adoption or RTO,1.0
A687756,2014-09-12,Adoption or RTO,0.0
A768906,2018-04-24,Adoption or RTO,4.0
A776657,2018-10-09,Adoption or RTO,0.0
A701885,2015-05-22,Adoption or RTO,1.0
A808988,2019-11-26,Adoption or RTO,0.0
A803123,2019-09-01,Adoption or RTO,0.0
A666077,2014-02-01,Adoption or RTO,0.0
A706459,2015-08-15,Adoption or RTO,0.0
A819044,2020-08-27,Adoption or RTO,0.0
A737585,2016-12-09,Adoption or RTO,0.0
A819299,2020-08-07,Adoption or RTO,0.0
A723110,2016-03-31,Transfer,0.0
A741991,2017-01-16,Adoption or RTO,0.0
A759181,2017-09-28,Transfer,0.0
A681346,2014-06-29,Adoption or RTO,0.0
A700106,2015-04-20,Transfer,1.0
A729401,2016-06-27,Transfer,0.0
A780869,2018-10-15,Transfer,2.0
A806164,2019-10-16,Adoption or RTO,0.0
A823747,2020-10-03,Euthanasia,2.0
A721240,2016-05-01,Adoption or RTO,0.0
A808996,2019-11-21,Transfer,2.0
A804098,2019-10-07,Adoption or RTO,0.0
A697847,2015-03-15,Adoption or RTO,1.0
A760800,2017-10-27,Transfer,3.0
A762041,2017-11-24,Adoption or RTO,6.0
A665610,2013-10-20,Transfer,0.0
A747337,2017-07-12,Adoption or RTO,0.0
A665994,2013-11-05,Adoption or RTO,0.0
A762274,2017-11-25,Transfer,8.0
A773787,2018-08-18,Adoption or RTO,0.0
A739344,2017-01-08,Adoption or RTO,0.0
A704378,2015-06-30,Transfer,3.0
A738529,2016-11-17,Transfer,0.0
A791858,2019-04-04,Transfer,6.0
A678773,2014-05-12,Transfer,0.0
