Animal ID,Outcome Date,Outcome Type,Age upon Outcomes(years)
A729763,2016-06-23,Transfer,0.0
A694824,2015-01-09,Adoption or RTO,0.0
A778285,2018-08-11,Euthanasia,0.0
A760351,2017-10-24,Transfer,0.0
A679861,2014-06-05,Adoption or RTO,1.0
A669338,2013-12-23,Adoption or RTO,0.0
A787118,2019-01-12,Adoption or RTO,0.0
A796257,2019-07-13,Adoption or RTO,0.0
A755820,2017-08-11,Adoption or RTO,8.0
A818040,2020-07-03,Transfer,0.0
A733047,2017-01-26,Adoption or RTO,0.0
A825177,2021-01-02,Adoption or RTO,2.0
A751319,2017-07-09,Adoption or RTO,0.0
A800877,2019-08-03,Transfer,0.0
A691063,2014-10-30,Transfer,0.0
A684252,2014-07-28,Adoption or RTO,0.0
A695219,2016-11-18,Euthanasia,11.0
A809050,2019-11-22,Transfer,0.0
A676005,2014-04-15,Transfer,2.0
A797014,2019-06-16,Adoption or RTO,0.0
A799438,2019-08-16,Adoption or RTO,0.0
A796320,2019-08-17,Adoption or RTO,0.0
A680259,2014-08-05,Transfer,12.0
A823111,2020-09-28,Adoption or RTO,1.0
A681108,2014-06-16,Transfer,0.0
A806627,2019-12-02,Adoption or RTO,0.0
A686938,2014-08-29,Transfer,0.0
A675295,2014-03-26,Transfer,0.0
A755001,2017-07-31,Transfer,1.0
A807575,2019-10-31,Transfer,1.0
A789412,2019-02-24,Transfer,2.0
A646989,2015-10-23,Adoption or RTO,3.0
A817853,2020-05-27,Transfer,0.0
A774279,2018-08-05,Adoption or RTO,12.0
A738236,2016-11-12,Transfer,0.0
A761811,2017-11-16,Transfer,10.0
A802423,2019-08-17,Euthanasia,0.0
A793970,2019-06-22,Adoption or RTO,0.0
A757249,2017-11-07,Adoption or RTO,0.0
A747438,2017-04-19,Transfer,0.0
A686388,2014-09-01,Adoption or RTO,0.0
A718082,2015-12-27,Adoption or RTO,0.0
A686093,2014-08-23,Transfer,0.0
A784119,2018-12-14,Adoption or RTO,2.0
A738304,2016-11-16,Transfer,0.0
A751792,2017-06-21,Adoption or RTO,0.0
A816711,2020-04-25,Transfer,0.0
A666812,2013-12-27,Transfer,0.0
A682643,2014-07-04,Died or Missing,0.0
A782312,2018-11-15,Adoption or RTO,0.0
A741812,2017-01-09,Adoption or RTO,2.0
A804720,2019-11-27,Adoption or RTO,0.0
A794741,2019-05-18,Adoption or RTO,0.0
A658797,2013-10-02,Adoption or RTO,1.0
A826884,2020-12-08,Adoption or RTO,0.0
A725687,2016-05-02,Transfer,0.0
A724752,2016-07-09,Adoption or RTO,0.0
A726460,2016-12-07,Adoption or RTO,0.0
A819958,2020-08-25,Adoption or RTO,0.0
A679116,2014-07-01,Adoption or RTO,0.0
A798622,2019-07-04,Transfer,0.0
A695068,2015-01-09,Transfer,0.0
A751568,2017-06-16,Adoption or RTO,0.0
A689268,2014-10-01,Transfer,0.0
A753015,2017-07-04,Transfer,0.0
A825245,2020-12-15,Adoption or RTO,0.0
A757614,2017-09-04,Transfer,0.0
A718895,2016-01-10,Adoption or RTO,12.0
A713345,2016-01-15,Adoption or RTO,0.0
A742816,2017-01-29,Adoption or RTO,3.0
A751138,2017-08-27,Adoption or RTO,0.0
A737445,2016-10-29,Transfer,1.0
A777057,2018-09-23,Adoption or RTO,0.0
A799733,2019-07-15,Adoption or RTO,1.0
A795849,2019-06-20,Adoption or RTO,0.0
A823127,2020-09-17,Euthanasia,0.0
A666064,2013-11-10,Adoption or RTO,0.0
A733969,2016-08-31,Transfer,2.0
A807721,2019-11-01,Adoption or RTO,2.0
A731041,2016-07-24,Adoption or RTO,0.0
A801551,2019-10-20,Adoption or RTO,1.0
A699598,2015-03-31,Transfer,0.0
A805062,2019-11-29,Adoption or RTO,0.0
A771412,2018-07-15,Adoption or RTO,5.0
A793515,2019-04-26,Transfer,0.0
A706742,2015-07-19,Adoption or RTO,2.0
A785588,2018-12-10,Transfer,1.0
A803856,2019-09-23,Transfer,0.0
A673207,2018-04-15,Adoption or RTO,4.0
A684007,2014-08-08,Adoption or RTO,6.0
A692741,2014-11-25,Transfer,0.0
A799625,2019-07-14,Transfer,0.0
A752651,2017-07-15,Adoption or RTO,0.0
A689854,2014-12-08,Adoption or RTO,0.0
A799842,2019-07-21,Died or Missing,0.0
A773377,2018-06-04,Transfer,0.0
A771762,2018-06-19,Adoption or RTO,0.0
A822010,2020-08-24,Died or Missing,0.0
A759754,2017-10-15,Adoption or RTO,0.0
A651258,2014-10-01,Adoption or RTO,1.0
A664446,2014-03-15,Adoption or RTO,3.0
A716819,2015-12-09,Transfer,0.0
A672674,2014-02-23,Transfer,6.0
A765331,2018-01-22,Adoption or RTO,0.0
A734531,2016-09-08,Euthanasia,1.0
A781775,2018-10-09,Transfer,2.0
A326898,2017-05-28,Adoption or RTO,14.0
A689906,2014-10-14,Adoption or RTO,0.0
A731281,2016-08-06,Adoption or RTO,0.0
A812021,2020-01-15,Euthanasia,12.0
A757785,2017-09-16,Adoption or RTO,13.0
A726422,2016-12-08,Adoption or RTO,2.0
A686458,2014-09-23,Adoption or RTO,0.0
A807105,2019-10-23,Transfer,0.0
A692988,2014-11-30,Transfer,1.0
A685969,2014-08-17,Transfer,0.0
A711477,2015-09-16,Adoption or RTO,0.0
A739516,2016-12-07,Died or Missing,0.0
A732994,2017-09-27,Adoption or RTO,2.0
A706562,2015-07-02,Transfer,0.0
A751535,2017-06-18,Adoption or RTO,0.0
A722116,2016-03-21,Transfer,3.0
A753960,2017-07-17,Adoption or RTO,0.0
A819386,2020-07-31,Adoption or RTO,0.0
A678962,2014-05-14,Transfer,0.0
A729208,2016-06-14,Transfer,0.0
A792547,2019-04-12,Transfer,0.0
A706348,2015-07-01,Adoption or RTO,0.0
A763556,2017-12-10,Transfer,0.0
A708487,2015-07-29,Transfer,0.0
A721116,2016-02-28,Transfer,7.0
A711859,2015-11-10,Adoption or RTO,0.0
A753805,2017-07-12,Transfer,0.0
A716243,2015-12-23,Transfer,0.0
A807660,2019-12-27,Adoption or RTO,0.0
A759642,2017-10-05,Transfer,0.0
A275975,2013-10-12,Adoption or RTO,11.0
A769039,2018-04-06,Transfer,13.0
A687170,2014-09-01,Euthanasia,1.0
A726196,2016-07-14,Adoption or RTO,0.0
A798629,2019-08-03,Adoption or RTO,0.0
A810058,2019-12-11,Transfer,3.0
A678088,2014-06-24,Adoption or RTO,2.0
A762223,2017-11-28,Adoption or RTO,7.0
A768532,2018-03-28,Adoption or RTO,1.0
A705710,2015-08-25,Adoption or RTO,0.0
A735677,2016-09-28,Transfer,0.0
A700985,2015-04-28,Transfer,0.0
A824636,2020-12-11,Adoption or RTO,0.0
A774344,2018-06-14,Transfer,0.0
A800548,2019-07-23,Transfer,0.0
A755842,2017-08-10,Adoption or RTO,3.0
A825100,2020-11-24,Euthanasia,0.0
A695784,2015-02-14,Adoption or RTO,0.0
A683189,2014-07-17,Euthanasia,0.0
A734136,2016-09-09,Transfer,0.0
A679930,2014-06-01,Died or Missing,0.0
A817416,2020-10-03,Adoption or RTO,0.0
A796934,2019-07-01,Adoption or RTO,0.0
A761347,2017-11-04,Transfer,0.0
A774104,2018-08-26,Adoption or RTO,0.0
A729433,2016-08-03,Adoption or RTO,0.0
A756785,2017-11-09,Adoption or RTO,0.0
A825830,2020-11-16,Transfer,0.0
A772204,2018-05-30,Adoption or RTO,0.0
A707057,2015-07-19,Adoption or RTO,0.0
A666507,2013-12-11,Transfer,0.0
A778914,2018-08-27,Transfer,0.0
A734054,2016-09-26,Transfer,0.0
A688539,2014-09-21,Transfer,1.0
A767406,2018-03-03,Transfer,0.0
A720695,2016-07-05,Adoption or RTO,0.0
A772123,2018-06-19,Adoption or RTO,0.0
A795450,2019-06-28,Transfer,0.0
A701486,2015-04-30,Transfer,0.0
A769678,2018-04-08,Transfer,0.0
A824164,2020-10-16,Transfer,0.0
A796281,2019-08-29,Adoption or RTO,1.0
A762912,2018-01-04,Adoption or RTO,0.0
A702686,2015-05-16,Transfer,0.0
A752999,2017-07-01,Transfer,2.0
A736722,2016-10-17,Transfer,1.0
A706138,2015-09-20,Adoption or RTO,0.0
A725527,2016-06-07,Adoption or RTO,0.0
A663450,2013-12-08,Transfer,1.0
A710727,2015-10-28,Adoption or RTO,0.0
A730046,2016-06-29,Adoption or RTO,0.0
A765914,2018-01-29,Euthanasia,1.0
A725090,2016-04-28,Transfer,0.0
A686208,2014-09-07,Adoption or RTO,11.0
A747641,2017-04-26,Transfer,1.0
A694822,2015-01-07,Adoption or RTO,0.0
A736849,2016-10-18,Transfer,0.0
A691851,2014-11-25,Transfer,0.0
A729902,2016-07-03,Adoption or RTO,3.0
A808181,2019-11-11,Adoption or RTO,10.0
A809121,2019-11-30,Adoption or RTO,0.0
A800155,2019-07-22,Transfer,0.0
A703802,2015-07-06,Adoption or RTO,0.0
A799720,2019-09-09,Transfer,0.0
A819946,2020-07-13,Adoption or RTO,0.0
A731239,2016-07-19,Adoption or RTO,5.0
A751403,2017-07-01,Adoption or RTO,0.0
A769455,2018-09-15,Adoption or RTO,0.0
A667863,2014-01-31,Adoption or RTO,0.0
A804093,2019-10-28,Adoption or RTO,0.0
A810667,2019-12-22,Adoption or RTO,0.0
A737115,2016-10-22,Adoption or RTO,2.0
A574282,2013-12-22,Adoption or RTO,4.0
A696366,2015-02-03,Euthanasia,5.0
A680801,2014-06-16,Transfer,0.0
A685478,2014-08-25,Adoption or RTO,0.0
A805656,2019-11-07,Adoption or RTO,0.0
A713797,2015-11-08,Adoption or RTO,2.0
A793809,2019-07-31,Adoption or RTO,0.0
A590490,2015-07-07,Adoption or RTO,5.0
A779584,2018-09-09,Transfer,0.0
A702090,2015-06-16,Adoption or RTO,0.0
A796800,2019-07-13,Adoption or RTO,0.0
A818681,2020-10-16,Adoption or RTO,0.0
A730504,2016-07-16,Adoption or RTO,0.0
A799734,2019-10-12,Adoption or RTO,1.0
A765726,2018-03-02,Adoption or RTO,0.0
A685582,2014-08-09,Transfer,0.0
A688321,2014-09-21,Euthanasia,1.0
A700483,2015-04-24,Adoption or RTO,2.0
A803486,2019-09-02,Transfer,0.0
A778661,2018-08-22,Adoption or RTO,0.0
A804540,2019-11-04,Adoption or RTO,0.0
A781475,2018-10-05,Adoption or RTO,0.0
A763739,2017-12-30,Adoption or RTO,2.0
A823731,2020-09-29,Transfer,0.0
A826837,2020-12-28,Adoption or RTO,0.0
A786726,2019-01-05,Adoption or RTO,0.0
A747676,2017-11-28,Adoption or RTO,5.0
A780941,2018-11-07,Adoption or RTO,0.0
A740194,2017-01-31,Transfer,2.0
A665201,2013-10-16,Transfer,0.0
A679653,2014-05-28,Adoption or RTO,0.0
A716931,2016-02-16,Adoption or RTO,0.0
A721120,2016-03-03,Adoption or RTO,4.0
A774710,2018-08-26,Adoption or RTO,0.0
A774486,2018-06-21,Adoption or RTO,0.0
A758690,2017-09-20,Transfer,0.0
A813994,2020-02-24,Adoption or RTO,1.0
A755805,2017-08-10,Transfer,0.0
A759799,2017-10-12,Adoption or RTO,0.0
A806698,2019-11-26,Adoption or RTO,0.0
A726911,2016-06-07,Transfer,2.0
A641025,2017-01-08,Adoption or RTO,4.0
A745021,2017-03-12,Transfer,0.0
A751123,2017-06-09,Transfer,1.0
A809280,2019-12-23,Adoption or RTO,5.0
A712810,2017-04-15,Adoption or RTO,7.0
A792635,2019-04-13,Transfer,0.0
A733752,2016-09-29,Adoption or RTO,0.0
A749453,2020-09-10,Adoption or RTO,10.0
A773839,2018-06-09,Transfer,1.0
A681933,2014-07-01,Adoption or RTO,0.0
A692149,2014-11-21,Adoption or RTO,0.0
A800164,2019-11-01,Adoption or RTO,0.0
A806702,2019-11-21,Adoption or RTO,0.0
A718088,2015-12-29,Adoption or RTO,0.0
A732783,2016-09-12,Transfer,1.0
A774933,2018-07-23,Adoption or RTO,0.0
A729026,2016-10-22,Transfer,0.0
A735944,2016-10-07,Euthanasia,0.0
A682493,2014-07-18,Adoption or RTO,2.0
A789926,2019-03-03,Adoption or RTO,0.0
A759860,2017-10-13,Transfer,1.0
A820234,2020-07-31,Adoption or RTO,1.0
A725297,2016-04-28,Transfer,1.0
A689157,2014-10-07,Transfer,0.0
A807184,2019-12-07,Adoption or RTO,0.0
A725377,2016-04-28,Transfer,0.0
A582433,2015-03-28,Died or Missing,7.0
A706088,2015-06-24,Transfer,0.0
A732217,2016-08-04,Transfer,0.0
A794341,2019-06-10,Adoption or RTO,0.0
A766635,2018-02-17,Adoption or RTO,0.0
A785948,2018-12-15,Adoption or RTO,8.0
A711964,2016-07-05,Adoption or RTO,1.0
A682539,2014-06-29,Euthanasia,0.0
A751938,2017-06-19,Adoption or RTO,0.0
A710795,2015-11-13,Adoption or RTO,9.0
A730237,2018-10-27,Adoption or RTO,2.0
A804496,2019-11-09,Adoption or RTO,0.0
A692754,2015-01-02,Adoption or RTO,0.0
A798464,2019-06-26,Transfer,0.0
A797394,2019-08-24,Adoption or RTO,0.0
A801433,2019-08-06,Adoption or RTO,7.0
A688036,2014-09-16,Transfer,2.0
A773277,2018-05-31,Transfer,0.0
A746420,2017-04-06,Adoption or RTO,0.0
A721315,2016-02-29,Adoption or RTO,0.0
A804321,2019-11-29,Adoption or RTO,0.0
A792475,2019-06-28,Adoption or RTO,0.0
A732497,2016-08-15,Adoption or RTO,0.0
A728064,2016-05-30,Euthanasia,0.0
A806833,2019-11-30,Adoption or RTO,0.0
A714132,2015-11-07,Adoption or RTO,8.0
A797330,2019-06-16,Adoption or RTO,0.0
A770943,2019-04-03,Adoption or RTO,1.0
A778612,2018-09-02,Adoption or RTO,0.0
A759389,2017-10-06,Transfer,0.0
A805265,2019-09-24,Transfer,0.0
A816693,2020-05-21,Adoption or RTO,0.0
A763796,2017-12-20,Transfer,0.0
A733739,2016-08-26,Transfer,0.0
A703390,2015-07-19,Adoption or RTO,0.0
A800344,2019-07-25,Transfer,0.0
A746301,2017-08-09,Adoption or RTO,0.0
A686463,2014-09-15,Adoption or RTO,0.0
A736911,2016-10-23,Adoption or RTO,0.0
A778312,2018-08-16,Adoption or RTO,0.0
A749305,2017-05-13,Transfer,0.0
A689616,2014-10-11,Adoption or RTO,2.0
A771739,2018-06-23,Adoption or RTO,0.0
A691235,2014-11-29,Adoption or RTO,0.0
A782116,2018-10-14,Adoption or RTO,0.0
A804531,2019-09-19,Adoption or RTO,0.0
A797377,2019-08-18,Adoption or RTO,2.0
A771071,2018-05-04,Adoption or RTO,0.0
A813928,2020-02-21,Transfer,0.0
A684794,2014-07-28,Transfer,0.0
A801794,2019-08-11,Adoption or RTO,0.0
A765741,2018-03-21,Adoption or RTO,0.0
A796313,2019-08-24,Transfer,0.0
A802572,2019-10-15,Adoption or RTO,0.0
A749149,2017-05-11,Transfer,0.0
A789994,2019-03-04,Adoption or RTO,0.0
A770375,2018-04-19,Transfer,0.0
A756403,2017-08-20,Transfer,0.0
A701378,2020-02-23,Adoption or RTO,4.0
A700220,2015-06-17,Adoption or RTO,0.0
A811826,2020-01-10,Adoption or RTO,9.0
A697714,2015-03-03,Transfer,0.0
A750240,2017-05-27,Transfer,0.0
A700189,2015-04-12,Euthanasia,1.0
A727729,2016-05-29,Transfer,0.0
A716126,2015-11-18,Transfer,2.0
A697669,2015-05-27,Adoption or RTO,3.0
A669013,2013-12-26,Adoption or RTO,7.0
A701774,2015-05-16,Transfer,2.0
A681786,2014-06-21,Transfer,0.0
A765412,2018-01-23,Adoption or RTO,0.0
A739098,2016-12-05,Transfer,1.0
A782000,2019-01-03,Adoption or RTO,0.0
A670653,2014-01-14,Adoption or RTO,0.0
A754608,2017-08-18,Transfer,0.0
A803599,2019-10-22,Adoption or RTO,0.0
A718958,2016-02-13,Euthanasia,12.0
A708723,2015-09-12,Adoption or RTO,0.0
A659951,2013-12-11,Adoption or RTO,0.0
A801445,2019-09-24,Adoption or RTO,0.0
A777635,2018-09-25,Adoption or RTO,0.0
A685483,2014-08-15,Adoption or RTO,0.0
A740594,2016-12-30,Adoption or RTO,1.0
A792773,2019-06-22,Adoption or RTO,0.0
A771843,2018-07-06,Adoption or RTO,1.0
A661132,2013-10-15,Adoption or RTO,0.0
A814762,2020-03-25,Adoption or RTO,8.0
A732809,2016-08-13,Transfer,0.0
A712229,2015-11-10,Adoption or RTO,0.0
A725621,2016-05-02,Transfer,0.0
A709083,2015-08-14,Adoption or RTO,0.0
A705890,2015-06-29,Adoption or RTO,0.0
A747270,2017-04-17,Euthanasia,0.0
A714756,2015-11-01,Transfer,3.0
A673914,2014-03-26,Transfer,2.0
A710036,2015-08-16,Transfer,0.0
A703815,2015-06-02,Transfer,0.0
A767674,2018-03-13,Adoption or RTO,4.0
A676935,2014-04-17,Transfer,0.0
A755113,2017-08-21,Transfer,7.0
A763383,2017-12-12,Adoption or RTO,0.0
A818759,2020-07-23,Adoption or RTO,0.0
A776493,2018-07-27,Transfer,0.0
A748940,2017-06-14,Adoption or RTO,0.0
A760230,2017-10-15,Died or Missing,0.0
A820708,2020-07-28,Transfer,0.0
A584566,2015-07-20,Adoption or RTO,14.0
A678871,2014-08-01,Adoption or RTO,0.0
A686713,2014-08-26,Transfer,1.0
A704731,2015-08-24,Transfer,1.0
A727438,2016-05-22,Euthanasia,0.0
A666160,2013-12-28,Adoption or RTO,0.0
A824714,2020-11-24,Adoption or RTO,0.0
A803495,2019-09-02,Transfer,0.0
A751895,2017-07-08,Adoption or RTO,2.0
A776450,2018-07-29,Adoption or RTO,0.0
A688239,2014-09-18,Transfer,1.0
A782379,2018-12-18,Adoption or RTO,0.0
A758616,2017-09-19,Transfer,0.0
A678272,2014-07-13,Adoption or RTO,0.0
A736344,2016-11-19,Adoption or RTO,0.0
A764429,2018-01-07,Transfer,2.0
A685005,2014-08-01,Transfer,0.0
A788839,2019-02-16,Transfer,5.0
A800712,2019-07-30,Died or Missing,0.0
A707858,2015-07-22,Adoption or RTO,0.0
A683956,2014-07-27,Adoption or RTO,3.0
A747809,2017-06-18,Adoption or RTO,5.0
A747151,2017-04-15,Transfer,0.0
A736860,2016-12-01,Adoption or RTO,0.0
A668732,2013-12-13,Adoption or RTO,0.0
A680620,2014-06-04,Transfer,0.0
A822618,2020-09-08,Adoption or RTO,3.0
A821432,2020-12-05,Adoption or RTO,0.0
A707713,2015-10-15,Adoption or RTO,0.0
A715153,2015-11-01,Transfer,0.0
A713373,2015-10-07,Transfer,0.0
A782743,2018-11-05,Adoption or RTO,1.0
A701173,2015-04-24,Transfer,0.0
A775586,2018-08-13,Adoption or RTO,0.0
A780347,2019-01-26,Adoption or RTO,0.0
A696570,2015-02-12,Adoption or RTO,0.0
A752184,2017-08-16,Adoption or RTO,0.0
A678213,2014-08-02,Adoption or RTO,0.0
A711726,2015-09-11,Transfer,0.0
A706452,2015-07-05,Adoption or RTO,0.0
A726845,2016-06-23,Adoption or RTO,0.0
A820494,2020-10-01,Adoption or RTO,0.0
A704322,2015-06-05,Transfer,0.0
A788201,2019-02-27,Adoption or RTO,0.0
A725160,2016-07-09,Adoption or RTO,0.0
A740778,2016-12-24,Adoption or RTO,3.0
A701501,2015-05-31,Adoption or RTO,0.0
A754344,2017-07-22,Transfer,2.0
A686281,2014-09-22,Transfer,3.0
A678089,2014-06-06,Adoption or RTO,0.0
A799942,2019-08-13,Transfer,2.0
A781487,2018-10-07,Adoption or RTO,3.0
A749888,2017-08-22,Adoption or RTO,0.0
A729111,2016-08-03,Adoption or RTO,0.0
A791283,2019-05-08,Adoption or RTO,0.0
A701168,2016-09-02,Adoption or RTO,10.0
A805658,2019-10-18,Adoption or RTO,0.0
A743731,2017-02-15,Euthanasia,4.0
A722241,2016-03-21,Transfer,1.0
A764578,2018-01-07,Adoption or RTO,0.0
A797586,2019-06-15,Euthanasia,8.0
A753315,2017-07-10,Transfer,0.0
A704993,2015-06-19,Died or Missing,0.0
A796483,2019-06-22,Adoption or RTO,0.0
A686885,2014-08-28,Transfer,0.0
A712933,2015-10-07,Transfer,0.0
A820218,2020-07-21,Adoption or RTO,0.0
A784250,2018-12-20,Adoption or RTO,0.0
A704727,2015-06-23,Transfer,0.0
A709087,2015-08-16,Adoption or RTO,0.0
A810487,2020-01-22,Adoption or RTO,0.0
A709081,2015-08-08,Adoption or RTO,0.0
A756286,2017-08-21,Adoption or RTO,0.0
A804530,2020-01-29,Adoption or RTO,0.0
A683040,2014-07-06,Transfer,0.0
A810040,2019-12-18,Adoption or RTO,0.0
A758243,2017-09-16,Transfer,0.0
A655933,2013-10-27,Transfer,2.0
A734749,2016-09-27,Transfer,0.0
A703362,2015-07-18,Adoption or RTO,0.0
A748094,2017-05-27,Adoption or RTO,0.0
A728058,2016-06-29,Adoption or RTO,12.0
A791455,2019-03-26,Euthanasia,2.0
A751769,2017-06-18,Adoption or RTO,0.0
A701206,2015-04-25,Transfer,0.0
A711475,2015-09-09,Adoption or RTO,0.0
A709990,2015-08-26,Transfer,0.0
A822575,2020-12-17,Adoption or RTO,0.0
A761122,2017-11-01,Transfer,2.0
A753263,2017-07-30,Adoption or RTO,0.0
A762982,2017-12-31,Adoption or RTO,0.0
A821679,2020-08-23,Adoption or RTO,0.0
A728647,2016-06-07,Transfer,1.0
A715745,2015-11-16,Transfer,0.0
A794874,2019-05-14,Transfer,0.0
A773080,2018-05-30,Transfer,1.0
A726039,2016-05-10,Transfer,6.0
A821868,2020-08-26,Adoption or RTO,0.0
A707942,2015-07-29,Adoption or RTO,0.0
A598169,2015-04-04,Transfer,6.0
A736435,2016-10-11,Transfer,0.0
A809685,2019-12-31,Adoption or RTO,0.0
A813780,2020-02-23,Transfer,1.0
A746521,2017-04-04,Transfer,0.0
A747999,2017-06-04,Adoption or RTO,0.0
A716526,2015-12-10,Adoption or RTO,0.0
A799676,2019-07-14,Adoption or RTO,0.0
A704962,2015-07-13,Adoption or RTO,0.0
A808558,2019-11-13,Transfer,0.0
A722026,2016-03-09,Transfer,0.0
A773962,2018-06-16,Adoption or RTO,0.0
A683126,2014-07-08,Transfer,0.0
A704806,2015-06-09,Transfer,0.0
A682267,2014-07-04,Transfer,0.0
A683876,2014-07-16,Transfer,0.0
A751785,2017-06-17,Adoption or RTO,0.0
A688560,2014-10-19,Adoption or RTO,0.0
A692742,2014-11-25,Transfer,0.0
A773699,2018-07-18,Adoption or RTO,0.0
A823535,2020-09-28,Transfer,1.0
A684010,2014-07-18,Adoption or RTO,1.0
A800092,2019-07-21,Transfer,1.0
A752401,2017-06-22,Transfer,0.0
A756803,2017-09-29,Adoption or RTO,0.0
A772811,2018-05-27,Transfer,1.0
A793526,2019-08-17,Adoption or RTO,0.0
A777040,2018-07-27,Transfer,0.0
A675889,2014-04-03,Transfer,0.0
A736052,2016-10-03,Transfer,0.0
A772017,2018-05-26,Transfer,0.0
A678204,2014-06-10,Transfer,0.0
A817746,2020-06-30,Adoption or RTO,0.0
A703638,2015-06-23,Adoption or RTO,0.0
A819886,2020-07-14,Transfer,0.0
A709073,2015-09-07,Adoption or RTO,1.0
A737151,2016-10-22,Transfer,0.0
A718742,2016-01-11,Adoption or RTO,0.0
A771314,2018-07-06,Adoption or RTO,0.0
A669925,2013-12-30,Euthanasia,2.0
A675515,2014-05-23,Adoption or RTO,0.0
A739414,2016-12-12,Transfer,1.0
A712543,2015-10-16,Adoption or RTO,0.0
A747069,2017-04-17,Transfer,1.0
A822522,2020-10-15,Adoption or RTO,0.0
A679550,2014-07-12,Adoption or RTO,0.0
A712748,2015-10-03,Transfer,0.0
A685772,2014-08-16,Adoption or RTO,0.0
A683076,2014-07-11,Transfer,1.0
A734866,2016-10-05,Transfer,1.0
A757469,2017-09-17,Adoption or RTO,1.0
A725405,2016-07-09,Adoption or RTO,0.0
A797828,2019-06-23,Transfer,2.0
A787942,2019-03-17,Adoption or RTO,2.0
A678459,2014-06-03,Adoption or RTO,0.0
A702389,2015-05-13,Euthanasia,2.0
A816026,2020-04-04,Euthanasia,5.0
A678701,2014-07-13,Adoption or RTO,0.0
A686311,2014-08-31,Adoption or RTO,0.0
A762139,2018-01-04,Adoption or RTO,5.0
A722731,2016-05-17,Transfer,2.0
A687017,2014-08-31,Transfer,0.0
A743189,2017-02-06,Transfer,3.0
A796710,2019-06-04,Transfer,0.0
A685235,2014-08-04,Euthanasia,0.0
A706071,2015-06-24,Transfer,0.0
A812579,2020-05-14,Adoption or RTO,0.0
A733727,2016-08-26,Transfer,0.0
A703576,2018-05-21,Adoption or RTO,3.0
A672722,2014-02-19,Adoption or RTO,0.0
A730286,2016-09-13,Adoption or RTO,0.0
A735879,2016-10-07,Adoption or RTO,0.0
A795436,2019-07-03,Adoption or RTO,0.0
A785593,2019-01-05,Adoption or RTO,0.0
A781386,2018-10-02,Transfer,2.0
A706494,2015-07-07,Died or Missing,0.0
A811439,2020-01-08,Transfer,1.0
A687814,2014-09-10,Transfer,0.0
A614259,2014-10-15,Adoption or RTO,4.0
A772323,2018-05-17,Transfer,0.0
A792872,2019-04-22,Transfer,2.0
A680559,2014-07-13,Adoption or RTO,0.0
A809016,2019-11-19,Euthanasia,7.0
A686954,2014-09-26,Transfer,0.0
A727045,2016-06-14,Adoption or RTO,1.0
A674320,2016-10-01,Died or Missing,5.0
A665853,2013-10-24,Transfer,2.0
A699291,2015-03-29,Transfer,0.0
A766986,2018-02-24,Adoption or RTO,0.0
A680347,2014-06-05,Transfer,0.0
A763761,2017-12-22,Transfer,6.0
A691141,2014-11-16,Adoption or RTO,0.0
A703157,2015-06-10,Adoption or RTO,0.0
A771313,2018-06-23,Adoption or RTO,0.0
A683730,2014-07-25,Transfer,1.0
A724536,2016-04-19,Transfer,0.0
A791589,2019-04-01,Transfer,0.0
A793707,2019-05-24,Adoption or RTO,1.0
A734322,2016-11-07,Adoption or RTO,0.0
A747823,2017-05-27,Adoption or RTO,1.0
A693321,2014-12-17,Adoption or RTO,6.0
A727838,2016-05-31,Transfer,2.0
A771032,2018-04-29,Euthanasia,1.0
A794586,2019-05-19,Died or Missing,0.0
A751778,2017-06-17,Adoption or RTO,5.0
A746623,2017-04-10,Adoption or RTO,0.0
A716940,2015-12-01,Euthanasia,9.0
A691454,2014-11-07,Euthanasia,1.0
A724000,2018-02-13,Adoption or RTO,9.0
A687433,2014-10-12,Adoption or RTO,0.0
A825233,2020-11-12,Transfer,2.0
A803625,2019-09-20,Transfer,7.0
A697596,2015-02-26,Euthanasia,0.0
A764355,2018-01-01,Transfer,0.0
A791609,2019-06-22,Adoption or RTO,0.0
A690026,2014-10-17,Transfer,0.0
A822709,2020-11-07,Adoption or RTO,0.0
A794721,2019-05-16,Transfer,1.0
A805971,2019-11-01,Adoption or RTO,0.0
A785403,2018-12-06,Transfer,2.0
A785268,2018-12-10,Adoption or RTO,2.0
A780555,2018-09-21,Adoption or RTO,0.0
A689635,2014-10-09,Transfer,0.0
A749534,2017-07-01,Adoption or RTO,0.0
A748820,2017-06-02,Adoption or RTO,0.0
A765832,2018-02-01,Adoption or RTO,0.0
A744993,2017-03-11,Adoption or RTO,0.0
A699493,2015-03-28,Euthanasia,5.0
A697673,2015-02-27,Transfer,1.0
A735422,2016-11-22,Transfer,1.0
A749072,2017-07-07,Adoption or RTO,6.0
A827245,2020-12-30,Transfer,0.0
A800527,2019-09-20,Adoption or RTO,0.0
A818789,2020-06-15,Transfer,0.0
A667008,2013-11-24,Adoption or RTO,0.0
A782829,2018-12-05,Adoption or RTO,0.0
A757993,2017-09-10,Transfer,0.0
A752730,2017-09-05,Adoption or RTO,0.0
A746400,2017-04-26,Adoption or RTO,0.0
A707449,2015-07-16,Adoption or RTO,0.0
A803093,2019-08-31,Transfer,2.0
A752779,2017-06-27,Transfer,0.0
A769785,2018-04-13,Adoption or RTO,8.0
A713409,2015-10-13,Transfer,1.0
